station,empty_load,vol
17_10_100100,36661.53073648591,24295
17_10_100100,34423.02412839244,4233
17_10_100200,30834.171659638432,121951
17_10_100200,31935.747576027643,93045
17_10_101201,32691.657120874217,25608
17_10_101201,36075.44886997763,24029
17_10_104002,28491.58925486796,5545
17_10_104002,1694.3571451613086,8677
17_10_105005,28576.790455727296,52976
17_10_105005,31446.91804058999,62544
17_10_8006,34543.22789230685,95161
17_10_8006,24914.859476498135,63382
17_10_8015,31856.858733016343,45056
17_10_8015,31927.778545762627,45132
17_10_8026,45113.32377000723,49678
17_10_8026,36014.66177000137,28566
17_10_8030,32352.32656913829,23523
17_10_8030,22743.605653530376,6853
17_10_8037,31259.120220680197,317222
17_10_8037,37186.965332208136,176288
17_10_8069,32929.16474851538,86332
17_10_8069,27416.433898370393,92276
17_10_8073,6062.705,175
17_10_8074,30585.046628682707,52910
17_10_8074,37335.472577695524,98108
17_10_8076,5299.5507573193645,18502
17_10_8076,6346.878099137925,16359
17_10_8096,33462.58117649128,175288
17_10_8096,36950.16490123123,163557
17_10_8099,33773.12880124702,2375
17_10_8099,40442.413762842436,4348
17_11_1295,39686.054876525355,73960
17_11_2295,35235.47465408841,38346
17_11_50,33168.40460032913,32678
17_12_169948,31682.4025676874,211518
17_12_169948,30751.608306085516,191852
17_12_169951,42347.60763068981,680417
17_12_169951,31420.41392520567,678686
17_12_299936,37237.2321832716,165677
17_12_299936,36929.618616787346,159324
17_12_349909,30178.735017949995,48307
17_12_349909,30636.319047903624,52375
17_12_359902,38762.22787699198,764973
17_12_359902,33505.545560643644,682561
17_12_39950,33769.93318894018,274268
17_12_39950,35036.46560450165,262516
17_12_469907,33367.28028410749,36975
17_12_469907,32101.903341203837,31036
17_12_489916,22907.42925179792,20955
17_12_489916,29605.58692780848,37971
17_12_489949,36199.16856615536,541666
17_12_489949,33551.426351747075,483319
17_12_509940,40129.64011778967,12499
17_12_509940,32624.512764018666,6104
17_12_539943,27024.07847568735,19215
17_12_539943,25255.221434773623,15503
17_12_709919,36111.21722031898,526774
17_12_709919,41057.814970264386,554171
17_12_729905,34220.83764578247,278298
17_12_729905,39004.254683254636,774422
17_12_729914,33141.65291984572,955791
17_12_729914,36389.44364318728,931613
