station,empty_load,vol
17_12_749923,36620.61954248981,1437734
17_12_749923,41830.758385051115,1342687
17_12_79918,32650.42246761957,172626
17_12_79918,33225.395623829085,90604
17_12_799925,32483.97909488211,7831
17_12_799925,34184.60702284464,8613
17_12_879947,33696.61857877962,160767
17_12_879947,34137.623477190114,193402
17_12_939952,33453.1807231863,557037
17_12_939952,37670.53223775156,555532
17_12_979913,32908.60802456356,288756
17_12_979913,38363.48057420776,294325
17_12_979931,33725.3741028923,663851
17_12_979931,39588.586943027316,695430
17_12_979933,39147.263855347024,228190
17_12_979933,37306.973249769966,225314
17_12_979934,32159.982537603748,403103
17_12_979934,31426.68424146915,272996
17_13_00W129,18178.24145514162,688188
17_13_00W129,31146.239176368734,642704
17_13_00W154,50022.663276119405,1378
17_13_00W154,36714.89715744682,1227
17_13_00W284,27137.436775676466,122533
17_13_00W284,20262.432542817172,105243
17_13_296,33530.38798034976,235374
17_13_296,45810.89816983578,253879
17_13_341,41716.487798018956,197221
17_13_341,41142.73899978583,175791
17_13_342,81023.97392661007,54492
17_13_342,127118.6147823615,60751
17_15_00017J,29564.527192838992,21781
17_15_00017J,35233.979773314466,21938
17_15_000C4K,30551.349391941396,743
17_15_000C4K,36485.69868326416,1057
17_15_000C7L,36118.39154075997,135906
17_15_000C7L,36994.58125903184,113071
17_15_00C10K,30516.748399332886,100854
17_15_00C10K,39955.13167900218,90848
17_15_0C202B,34310.58485774217,23271
17_15_0C202B,24397.271574379276,183564
17_15_200330,33815.859363659794,13969
17_15_200330,34331.5605769232,5761
17_15_270007,37436.711858963754,29509
17_15_270007,29532.402651067423,30468
17_15_2,31750.398888708834,5923
17_15_2,38727.49304512628,7417
17_15_380008,34187.01319881331,10670
17_15_380008,36529.68948967997,8608
17_15_380015,37575.99232502702,8399
17_15_380015,33772.606095277086,15429
17_15_3,38426.789730400305,6825
17_15_3,40379.093257541914,6992
17_15_411,39885.66234946587,32942
17_15_411,35474.078273739586,33745
17_15_438,33466.22864856926,2346
17_15_438,34006.98870394728,2557
17_15_4,35990.91411438158,157514
17_15_4,34871.07459579452,152967
17_15_50015,40513.35504065042,6054
17_15_50015,41949.853321403556,14004
17_18_105600,36141.90169735101,53141
17_18_105600,40035.68064336549,25978
17_18_110106,46476.42985150992,237434
17_18_110106,40367.04121278643,604003
17_18_12200,32851.48569731457,98881
17_18_12200,34107.29441708266,131560
17_18_146000,41848.128561151134,1281
17_18_146000,28973.74928191488,1322
17_18_155300,32013.838174999997,3114
17_18_155300,31521.6665365854,2955
17_18_172000,33072.45828248546,94757
17_18_172000,35638.459141695675,91452
17_18_225400,34692.38663244431,251885
17_18_225400,33272.17731993361,270370
17_18_22700,37927.368231484004,473567
17_18_22700,36550.236014325106,467114
17_18_293100,35310.17076382142,9039
17_18_293100,32059.048006040837,8258
17_18_303600,41891.142177064976,1104042
17_18_303600,43978.51709173911,1081118
17_18_342600,30642.759337080613,39633
17_18_342600,33572.823723587986,35785
17_18_360507,30334.50696894085,1223543
17_18_360507,33696.38571553493,1085075
17_18_454400,32664.912036869333,45039
17_18_454400,35194.60440197657,35443
17_18_464300,40335.65868688929,132860
17_18_464300,36159.92615523187,136755
17_18_464500,31929.186348597923,18598
17_18_464500,30009.370784944862,20332
17_18_491315,38983.44064424859,17023
17_18_491315,42259.541679875554,39968
17_18_493300,29506.59776345518,358569
17_18_493300,32360.40571266254,444150
17_18_504600,37074.61771334813,130753
17_18_504600,33963.81959799074,139336
17_18_522100,35930.19849445372,156410
17_18_522100,35454.459849752275,135213
17_18_644700,33825.17127962262,50056
17_18_644700,34136.09071409579,44758
17_18_656300,39341.77442836909,75380
17_18_656300,35287.396965816886,76471
17_18_695200,31020.32639435246,31824
17_18_695200,30190.901399212722,31897
17_18_735100,29263.39629352511,4251
17_18_735100,31347.831796019815,4889
17_18_746200,40343.380651954816,188534
17_18_746600,38596.0243098848,7696
17_18_746600,41576.45552388665,2038
17_18_790102,34550.96702230818,104871
17_18_790102,33188.05265341621,66474
17_18_826400,32113.964666666663,29
17_18_826400,33228.52255555555,66
17_18_826500,34918.699747334176,107339
17_18_826500,35085.81620697676,53695
17_18_831200,30864.284993491365,108594
17_18_831200,32829.61633741856,140122
17_18_893700,32744.794025615538,903109
17_18_893700,34249.98562286251,868744
17_18_92500,34700.057588003525,17138
17_18_92500,32511.963592270076,19171
17_19_104,31970.493669878626,564420
17_19_104,32611.063650473097,592758
17_19_106,35970.81040045256,400579
17_19_106,34651.89045937991,421728
17_19_111,34399.30794285745,91360
17_19_111,35379.40277014136,94827
17_19_120,38216.14762727116,122747
17_19_120,38404.83581771003,123802
17_19_121,34560.25789540051,78312
17_19_121,40247.180126272884,81887
17_19_125,37020.04350897608,341448
17_19_125,36901.95931437922,337394
17_19_126,34264.10565939123,417499
17_19_126,34154.9298687301,391566
17_19_205,31908.82422342868,244988
17_19_205,33257.052938291934,244024
17_19_236,32437.578768301468,24463
17_19_236,32515.908969089738,19778
17_19_242,32827.92746795041,162807
17_19_242,32810.664713022954,159681
17_19_248,32537.9137699694,8015
17_19_248,32330.372193103663,8388
17_19_249,34759.04281986281,10093
17_19_249,31606.139462264324,10279
17_19_250,34287.10574171736,191409
17_19_250,29063.73823963632,172466
17_19_252,32147.352815782004,86203
17_19_252,33716.21596622873,90449
17_19_253,37782.61276808752,224947
17_19_253,37824.22695813778,219835
17_19_254,35993.31776549049,48182
17_19_254,33423.63211063818,51203
17_19_255,33579.08483674057,164379
17_19_255,35089.3811965308,155849
17_19_256,40386.18153840966,217092
17_19_256,33938.42058318502,235148
17_19_261,32562.17743073828,47949
17_19_261,34900.67806904658,41121
17_19_262,41472.739020036635,27621
17_19_262,39237.01090611208,28323
17_19_263,33267.55034584158,19893
17_19_263,34069.01436852746,20764
17_19_264,28300.81487094792,129501
17_19_264,31770.625610424762,127065
17_19_265,32671.38912962007,108756
17_19_265,30857.295617926247,108379
17_19_266,41453.702350657804,16830
17_19_266,40397.249343517906,15614
17_19_267,33140.70328408037,43888
17_19_267,33756.18551383496,44564
17_19_269,28186.86943507338,29783
17_19_269,33145.912530533635,28520
17_19_270,29795.78136877571,51835
17_19_270,37671.0900029102,47932
17_19_272,33220.12189883267,4629
17_19_272,34852.7560125064,4814
17_19_273,29828.65998688277,47565
17_19_273,28715.122947220927,51997
17_19_274,32663.80432491623,140833
17_19_274,30498.565852006337,128538
17_19_276,29757.940651300512,79010
17_19_276,33442.02094631081,82800
17_19_277,32691.42026486452,87246
17_19_277,29755.323977037402,110848
17_19_286,32677.638786819774,32261
17_19_286,30717.27598712722,36443
17_19_287,32823.63333456784,70460
17_19_287,31846.620094873822,67528
17_23_15,41253.01400000002,1549
17_23_15,49448.96768493161,2358
17_23_18,39904.46587368422,1598
17_23_18,39902.60252254335,1431
17_23_19,48729.714247636526,111132
17_23_19,48939.8987453611,171299
17_23_1,36450.30888535589,534390
17_23_1,39259.68035039398,594790
17_23_22,37843.0505610644,176742
17_23_22,39048.88685707915,247787
17_23_23,41154.74646582832,27440
17_23_23,39033.992204233975,25212
17_23_6,39821.67618712107,123318
17_23_6,40148.86251391636,77599
17_24_0P0065,31678.913304535752,14099
17_24_0P0065,34441.73030453667,14815
17_26_117189,35142.95304435552,977589
17_26_127269,30293.277458846536,434507
17_26_127269,32990.306997528874,478579
17_26_137159,38139.87317299239,904167
17_26_137159,35155.9623044657,894171
17_26_137169,37668.04286487247,510172
17_26_137169,34475.44135558382,522357
17_26_195019,25847.31595842629,91221
17_26_195019,33173.54726581562,97100
17_26_195319,35011.63448279309,313974
17_26_195319,32952.72479294809,334788
17_26_211459,40297.21366858183,14765
17_26_211459,37408.03811678298,15057
17_26_212229,30314.853319688293,39785
17_26_212229,28596.283648227818,35916
17_26_238869,31470.52906115133,469645
17_26_238869,27193.682933605767,441620
17_26_256119,30916.212706528026,229434
17_26_256119,34720.28044649713,239529
17_26_256449,37632.76855497024,333746
17_26_256449,32458.265428647293,302677
17_26_271009,34736.49678161476,16349
17_26_271009,31492.690115676454,13112
17_26_308129,33242.3741657012,13024
17_26_308129,35289.981588301205,29959
17_26_338029,32880.05582890632,62260
17_26_338029,33042.42326238465,63295
17_26_37319,35154.16961679512,363856
17_26_37319,33456.64880253003,427837
17_26_387029,34560.546947596464,516792
17_26_387029,34491.02322932418,520220
17_26_387049,31134.157915613046,72759
17_26_387049,33112.114664242195,75085
17_26_403069,39341.2784818621,18167
17_26_403069,37747.39027071226,18749
17_26_478049,36190.79467289427,299901
17_26_478049,34778.74387149912,325143
17_26_492029,28589.147275747477,21366
17_26_492029,34557.80755058855,17384
17_26_588729,35128.091379408565,509767
17_26_588729,34348.54796982377,522167
17_26_615289,33010.66990445018,77985
17_26_615289,34115.39074196528,81495
17_26_694049,38059.675874680004,29999
17_26_694049,29932.088353118845,33810
17_26_705059,35017.576485885606,137962
17_26_705059,32918.96823600635,182167
17_26_705099,33538.36696103221,105737
17_26_705099,33809.710948103304,112158
17_26_724129,34271.68739206056,19475
17_26_724129,33617.72683703044,19860
17_26_724149,38742.25277052064,30275
17_26_724149,46780.29634251663,22960
17_26_752199,33506.70442926809,6872
17_26_752199,35012.4150980577,6308
17_26_776369,37305.601389817064,191124
17_26_776369,35625.49127257187,184666
17_26_776469,36711.57649720213,164005
17_26_776469,34587.75343828423,150661
17_26_787119,35793.38921964448,74547
17_26_787119,37772.11796214025,70242
17_26_807219,41397.25003389646,508382
17_26_807219,38441.73616373501,451375
17_26_828839,32718.84767612261,211571
17_26_828839,29043.92294966335,373092
17_26_829189,36398.95369757009,170161
17_26_829189,34627.26552228161,400948
17_26_829209,37925.804671948594,187240
17_26_829209,33469.36335116037,112705
17_26_829699,34103.34849517228,724984
17_26_829699,32321.211933214523,335235
17_26_96429,30272.064897841206,59032
17_26_96429,30892.493453189756,62129
17_27_26,32427.144849442364,647243
17_27_26,33707.14327569199,632825
17_27_27,35531.24440788248,157253
17_27_27,31935.26384752162,158009
17_27_29,37224.81099432684,67551
17_27_29,31904.896270092584,63325
17_27_30,36463.44702067673,22179
17_27_30,29671.448618002374,26874
17_27_31,32804.09596961752,46618
17_27_31,31603.407648331777,31171
17_27_32,31194.947533499213,312695
17_27_32,32322.200051514144,287706
17_27_33,32196.536302544653,86834
17_27_33,30161.7687144487,92337
17_27_34,32173.613886500905,47727
17_27_34,30287.42230832107,54813
17_27_35,31144.24469937677,30146
17_27_35,35092.32251322758,34188
17_27_36,39992.85454019774,48900
17_27_36,34961.48849571497,57781
17_27_37,32063.196827771815,886016
17_27_38,34655.58121080545,160945
17_27_38,30086.158531396697,192696
17_27_39,33149.0758632574,70894
17_27_39,31912.412450754393,71053
17_27_40,27785.98621820974,220928
17_27_40,31389.557425427778,265775
17_27_41,30008.88363958625,5604
17_27_41,23934.49621877854,13203
17_27_42,31487.34372605751,135601
17_27_42,30473.211700789998,114651
17_27_43,35451.04664008942,120202
17_27_43,29166.972406910434,87211
17_27_44,35901.78546198812,2286
17_27_44,39040.38756798234,2637
17_27_45,39496.48498481412,8807
17_27_45,40453.894240764705,7166
17_27_46,30892.275380063864,9514
17_27_46,32375.45519848628,8400
17_27_47,33390.35620948351,44933
17_27_48,30493.68448935093,5835
17_27_48,32570.036763207412,5179
17_27_49,35113.830284341384,269531
17_27_49,35042.124650199185,261034
17_27_59,35996.05767992935,396018
17_27_61,35920.037305575155,403358
17_29_1881,36167.649511990094,12762
17_29_1883,37179.12732264344,14350
17_29_2001,37025.46922433606,35929
17_29_2003,34385.18921064866,32500
17_29_2021,31926.128957920206,73628
17_29_2023,34847.9878689265,16906
17_29_4201,34767.90137611165,344284
17_29_4413,32456.019743034543,70210
17_29_5554,36815.071000304895,24464
17_29_6101,33277.78287623993,243818
17_29_6103,35246.55969885925,246889
17_29_7401,31881.399039838776,85061
17_29_7403,33661.1963648165,83360
17_29_7602,36418.54596333177,473937
17_29_9202,33507.45238325465,99026
17_29_9204,36740.744814703365,98680
17_29_9302,35812.435132375685,915759
17_2_271,35709.40285326803,63458
17_2_271,46972.59729421303,71067
17_2_305,42371.45485135266,53889
17_2_443,43465.82917882024,10157
17_2_443,42619.44876291279,10297
17_2_444,39845.5272837838,5568
17_2_444,39119.44945517543,5273
17_2_572,49543.238324913335,6914
17_2_572,39056.32669534059,8880
17_2_574,39572.31219984002,3247
17_2_574,47628.09511428576,3012
17_30_103,37777.82099077036,146522
17_30_103,38575.38789454971,120850
17_30_104,40812.93409058924,274020
17_30_104,37036.052839943,252185
17_30_107,39739.378860819765,42069
17_30_107,39945.46236881665,35394
17_30_110,37699.37088986925,36668
17_30_110,40523.44421042316,31993
17_30_114,38434.907366770516,36754
17_30_114,38595.677809577566,40425
17_30_115,30571.650535929733,9137
17_30_115,37230.759504340975,8264
17_30_116,31964.282211131962,15978
17_30_116,34299.07801224273,12665
17_30_117,40873.59381466123,20650
17_30_117,29797.909267707728,24765
17_30_118,37574.106529570585,16769
17_30_118,35825.90161093975,12792
17_30_121,41171.992544249566,281265
17_30_121,41075.269053970704,253834
17_30_122,41494.50640938528,75750
17_30_122,34492.639709228395,78428
17_30_123,37910.69502376979,194047
17_30_123,40600.970269979276,205525
17_30_124,38411.04932342543,242761
17_30_124,38133.34310686462,237320
17_30_126,37011.66429833505,41059
17_30_127,39618.7738710218,43267
17_30_127,37694.18216023952,41209
17_30_128,37143.04558879079,12379
17_30_128,33844.128211204574,14855
17_30_129,37061.118688344635,146220
17_30_129,41215.94254782354,150574
17_30_130,20301.861639024395,2898
17_30_130,29037.965532588438,2093
17_30_131,38064.87365864159,87003
17_30_131,41302.51146617645,117459
17_30_133,38420.023375764984,25811
17_30_133,38133.09978413115,25409
17_30_134,32321.04717934786,615
17_30_134,31801.024224719094,329
17_30_135,32023.59510810812,114
17_30_135,35095.67412765957,82
17_30_136,42187.174120692805,82147
17_30_136,35918.65645765328,80370
17_30_137,38594.21708833092,274763
17_30_137,35632.38162963028,256190
17_30_138,36741.03850894077,4096
17_30_138,31254.60664892523,3738
17_30_141,37493.26925642895,13146
17_30_141,35591.886903399696,13344
17_30_142,40200.61811504887,97566
17_30_142,35355.99779844588,95286
17_30_143,36110.181262977545,24470
17_30_143,33252.023808340025,23990
17_30_144,35220.821232052054,10273
17_30_144,32878.702715373125,11070
17_30_145,36912.573623876226,30656
17_30_145,32844.67158605057,29091
17_30_146,42878.335673870046,273777
17_30_146,36962.605887562444,243304
17_30_147,38243.7304286507,3974
17_30_147,37608.07960947819,5583
17_30_148,35021.05008600001,1551
17_30_148,34766.2575034014,1721
17_30_149,37480.73365174125,5968
17_30_149,38169.51943825803,6740
17_30_203,38737.43787051907,323071
17_30_203,36649.35041406129,254059
17_31_222,49275.5280031696,8103
17_31_222,47204.8110910882,7012
17_31_223,47375.169780821925,318
17_31_223,46532.04081132072,447
17_31_225,40763.104289855066,198
17_31_225,45071.11766666666,295
17_31_226,49807.42070905586,1950
17_31_226,51556.71309493666,2889
17_31_227,45742.84497260273,273
17_31_227,47581.65803243242,375
17_31_229,51494.06476923077,293
17_31_229,47196.91752046782,325
17_31_230,43088.0731111111,47
17_31_230,41755.50280000001,56
17_31_301,50370.237765903206,7583
17_31_301,53762.587225074676,8085
17_31_305,48375.549706433856,10904
17_31_305,48315.74234508489,11577
17_31_306,45567.923550274165,10380
17_31_306,50371.12610211405,11446
17_31_307,50831.241011236016,8949
17_31_307,49731.284930060174,10824
17_31_309,41526.35344981413,646
17_31_309,46761.53252674897,630
17_31_310,42688.971170731726,528
17_31_310,52492.89424277454,501
17_31_311,44517.61178619152,952
17_31_311,47428.32226301368,912
17_31_313,44333.16771052631,160
17_31_313,45910.72375221239,261
17_31_314,43071.31284210527,35
17_31_314,38225.66122222223,44
17_31_315,45296.46169230769,50
17_31_315,50027.91538461538,65
17_31_316,45652.051382978694,418
17_31_316,41285.13301038063,487
17_31_318,41942.04756923076,92
17_31_318,51878.189578947364,50
17_31_319,38149.511304347834,117
17_31_319,44280.20096296296,49
17_31_321,46851.6589127687,1914
17_31_321,46921.83647393379,2417
17_31_328,46664.670915451876,727
17_31_328,40703.310248447204,424
17_31_352,42733.68310869566,249
17_31_352,44894.08000000001,252
17_31_353,49102.81109378968,2921
17_31_353,45740.93734353966,3151
17_31_354,51524.84499130432,5212
17_31_354,55872.32880823039,5658
17_31_355,48883.858428512925,9103
17_31_355,48956.34287500012,6560
17_31_356,48250.80823469385,1545
17_31_356,45753.30227228916,1712
17_32_12140,38950.767878948216,103579
17_32_12140,36141.401672097694,97635
17_32_132130,41359.19538687992,320611
17_32_132130,37348.47848247734,384505
17_32_190133,35320.28299811302,85497
17_32_190133,38401.271658290774,101001
17_32_30720,35434.91080034897,40578
17_32_30720,36528.098197474385,30183
17_32_310810,34883.06494581108,199440
17_32_310810,35870.954913975394,226762
17_32_312370,36111.596966543955,89691
17_32_312370,37826.49945807898,94404
17_32_312400,36535.00987732581,523163
17_32_312400,37054.779684630106,559728
17_32_35340,37966.64548861313,864970
17_32_35340,33914.816024617176,918504
17_32_35350,38594.30896634002,282746
17_32_35350,37782.36367688908,269182
17_32_35360,40070.49391728846,743583
17_32_35360,31350.130716032545,743829
17_32_53170,36564.46364817787,72297
17_32_53170,37108.53800643119,83615
17_32_72110,39656.49105917236,106427
17_32_72110,38298.40063336746,131673
17_32_75260,38759.53132975603,351411
17_32_75260,39591.35713108587,410831
17_35_102,35866.11490789602,33717
17_35_102,36210.43648598762,33399
17_35_103,36789.49330960265,28280
17_35_103,38580.608397808435,28139
17_35_155,37842.760690864015,24278
17_35_155,34319.791122163355,37110
17_35_COLUMB,35073.80833846154,254
17_35_COLUMB,31591.074025641028,238
17_35_L20200,33755.957972040815,3935
17_35_L20200,35912.38479982738,4058
17_35_r01000,39444.37495179952,439230
17_35_r01000,39409.46580414376,324401
17_35_r02000,35659.02698484975,179136
17_35_r02000,35273.64098911569,186778
17_35_TERESA,37077.91895848499,2846
17_35_TERESA,31190.92235868546,1941
17_36_2680,38394.533959685745,19890
17_36_2680,38140.89699694244,49411
17_36_280,34881.667596844134,31127
17_36_280,37245.19856547201,36193
17_36_3382,34989.57860481472,83816
17_36_3382,36377.57646130362,48385
17_36_4342,32659.65671665031,39802
17_36_4342,35235.737484886435,31700
17_36_5183,40183.803888923205,173643
17_36_5183,33475.1326359091,178209
17_36_5280,34013.32328425349,96191
17_36_5280,27721.627919941377,89296
17_36_5281,38300.61198073133,32222
17_36_5281,30090.149674822245,33404
17_36_580,39925.13817571588,367164
17_36_580,37261.76739754452,289577
17_36_6100,38569.061925568385,176472
17_36_6100,34701.15836573064,171996
17_36_6282,33979.53524749167,4537
17_36_6282,32997.67486459906,4736
17_36_6340,36073.52391459145,36674
17_36_6340,33514.42934022932,54606
17_36_6482,34833.401499887455,215850
17_36_7181,37381.67280262421,47919
17_36_7181,34092.44068781704,56761
17_36_7381,30810.704113615844,156463
17_36_7381,36442.15682760313,169414
17_36_8382,34960.25485830619,657096
17_36_8382,34753.40807594415,512821
17_36_8411,43780.404730789785,755269
17_36_8411,31935.22034504104,762487
17_36_9121,35132.839935928256,516280
17_36_9121,36413.85131335925,404502
17_36_9580,41119.58758487793,196200
17_36_9580,36022.57279942233,144319
17_36_9631,36559.67246931989,130975
17_36_9631,35669.48930295228,113664
17_39_504,36135.777181575795,399676
17_39_504,37274.012357940934,389135
17_39_50,36133.61873836901,859148
17_39_50,37425.35865209705,976058
17_39_518,38580.49570188895,91472
17_39_518,35938.2635761034,90980
17_39_703,40598.001373825995,29471
17_39_703,34184.195555967104,31745
17_39_709,33511.17104298932,108619
17_39_709,34632.387201880105,113681
17_39_711,36154.51317765804,284569
17_39_711,35608.46689550936,233431
17_39_721,37766.40366519642,370749
17_39_721,33960.13712771186,368508
17_39_725,33597.102537329265,445347
17_39_725,34615.05109076205,393302
17_39_727,34656.22155367667,681642
17_39_727,33522.46362112379,739727
17_39_732,33494.51440224592,214766
17_39_732,32328.082436451492,262721
17_39_738,31169.125300088614,165356
17_39_738,37402.787206744375,159044
17_39_745,37030.686834141496,226825
17_39_745,35535.384466481664,204394
17_39_749,37296.69596033744,1145183
17_39_749,35289.6143874113,1168902
17_39_750,42499.8049374754,465822
17_39_750,36195.37910264874,695584
17_39_754,38595.83984999135,801506
17_39_754,34066.88283092181,842629
17_39_755,36244.21515563345,325693
17_39_755,35372.695922926316,359158
17_39_760,34723.72002740966,54113
17_39_760,36320.50719601811,66630
17_39_769,34432.607396396605,12253
17_39_769,32014.371845215544,13101
17_39_770,36135.32494062706,288228
17_39_770,40194.87194106619,285810
17_39_773,35733.90131772886,8918
17_39_773,34788.58433772961,8639
17_39_774,36957.37272645367,42786
17_39_774,33992.965744556146,38910
17_39_775,36409.065864785676,1046235
17_39_775,40153.19584480647,981873
17_39_778,38879.00741567542,98332
17_39_778,35635.67551593634,99318
17_39_779,31175.098929158332,227657
17_39_779,34755.323540224956,253866
17_39_780,33028.729543689304,5589
17_39_780,33618.75376968767,9331
17_39_785,37975.01377433352,1421661
17_39_785,36251.77518265927,1254377
17_39_786,35121.97750320374,104396
17_39_786,34614.80883150565,114886
17_40_WIM001,35188.51184940334,34446
17_40_WIM001,38249.298680063956,31824
17_40_WIM002,30999.9698030967,578660
17_40_WIM002,26365.2588871933,569833
17_40_WIM003,35797.41159172464,132435
17_40_WIM003,37862.51539024362,52425
17_40_WIM005,35074.729432023836,339353
17_40_WIM005,34949.12256111733,185938
17_40_WIM006,37810.07518634416,160005
17_40_WIM006,44043.72499411298,149789
17_40_WIM007,32314.236245209442,173292
17_40_WIM007,26655.511358079064,17304
17_40_WIM009,38008.161269943244,50144
17_40_WIM009,42528.84395909444,54488
17_40_WIM010,38704.87783596074,430525
17_40_WIM010,40413.954529880066,509783
17_40_WIM011,31758.156750053582,56362
17_40_WIM011,37391.64470143825,60660
17_40_WIM016,33699.400989833935,136254
17_40_WIM016,35595.59549849211,158973
17_40_WIM021,28782.868736809378,539404
17_40_WIM021,31461.08413860234,576213
17_40_WIM022,26724.296644655846,38638
17_40_WIM022,30426.65707370849,24660
17_40_WIM023,28817.990532044445,59502
17_40_WIM023,33733.51025880735,63153
17_40_WIM025,34690.90868628098,192088
17_40_WIM025,35887.67765014582,158152
17_40_WIM027,31559.086751614643,424535
17_40_WIM027,42770.72006517156,402455
17_40_WIM028,20444.232599868308,886908
17_40_WIM028,27549.650977224217,838817
17_40_WIM029,52375.681240164035,573940
17_40_WIM029,39018.86417710161,560895
17_40_WIM030,35159.23575165151,660191
17_40_WIM030,30499.347777197556,798844
17_40_WIM032,40062.168519293395,32039
17_40_WIM032,20139.581619755198,46807
17_40_WIM104,39212.20324394386,415021
17_40_WIM104,25568.57934565393,504695
17_40_WIM114,32979.5273467361,576882
17_40_WIM114,36713.296636631305,432914
17_40_WIM118,30627.97113364107,46313
17_40_WIM118,33157.22396484673,58621
17_41_MC0906,42513.42113880158,82701
17_41_MC1007,32952.48197429026,651749
17_41_MC1008,38003.28529293957,655446
17_41_MC1402,29618.628416292744,324823
17_41_MC1404,47289.107921986324,356312
17_41_MC1506,39958.87631643401,614798
17_41_MC1507,42888.1998205667,678330
17_41_MC1603,31686.010131721036,68637
17_41_MC1604,39776.564730735394,160014
17_41_MC1805,45092.15311584471,193615
17_41_MC1807,38368.44396653696,115468
17_41_MC2005,16786.45730805687,10460
17_41_MC2305,42764.18096510753,322745
17_41_MC2306,34778.39938374375,432135
17_41_MC2408,37242.24845071873,964711
17_41_MC2409,35227.62441155967,885936
17_41_MC2601,14622.80439050387,49431
17_41_MC3005,34487.4329376328,201780
17_41_MC3006,41683.206866458546,256028
17_41_MC3103,37476.63724579855,435749
17_42_106,33327.33847610078,450013
17_42_106,31324.699389566264,429957
17_42_158,41191.82663835634,891685
17_42_158,39351.97851900736,850387
17_42_317,32717.751014268928,37254
17_42_317,34926.84094681124,36186
17_42_324,38652.57715768468,5331
17_42_324,32898.2781712223,107369
17_42_410,35413.19244174779,9980
17_42_410,35691.183620494805,10055
17_42_501,38918.76779555466,361924
17_42_501,37796.51696045336,346054
17_42_502,38900.79371593596,1692767
17_42_502,36580.1879196815,1658379
17_42_505,32960.7555348745,276317
17_42_505,33979.62234805223,345709
17_42_506,39316.049386348175,6186
17_42_506,35628.870259980395,4512
17_42_600,35963.996341956044,2127084
17_42_600,32375.24833458592,1976300
17_42_701,36023.50603580865,2743336
17_42_702,34127.14573421966,1839389
17_42_703,32622.593409215893,338820
17_42_703,36762.425558743875,327365
17_42_704,36193.59030359501,579032
17_42_704,39146.089142941244,628418
17_42_705,36732.38200976275,933829
17_42_705,33743.196145684786,737647
17_42_709,35870.42828480734,104515
17_42_710,35413.94384281499,11330
17_42_710,32004.774917705872,10434
17_44_110031,31248.53630354227,11562
17_44_110031,32308.4134513277,12130
17_44_120002,34981.22076515617,15396
17_44_120002,34379.82543477808,13476
17_44_120003,30131.23386661799,72640
17_44_120003,26150.329551974195,70651
17_44_120036,59047.07233333332,17
17_44_120036,24620.08000188453,5668
17_44_130044,32860.90808875995,15602
17_44_130044,31531.152497756884,15937
17_44_140043,39165.57474657235,215691
17_44_140043,34400.49151861452,380902
17_44_150001,28359.90190304712,2451
17_44_150001,20609.502106145257,818
17_44_200003,22156.901037860232,13163
17_44_200003,24136.109259160523,3923
17_44_230000,31358.03671259855,13345
17_44_230000,30448.134814758883,14783
17_44_230021,27713.004929577462,248
17_44_230021,24191.84641499999,738
17_44_250057,34774.11359425206,35849
17_44_250057,36757.63533333331,1601
17_44_319994,29588.16279624951,207490
17_44_319994,28229.395644617627,230565
