name,empty_load,average_payload,full_load,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,24500,25000,25500,26000,26500,27000,27500,28000,28500,29000,29500,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,48500,49000,49500,50000,50500,51000,51500,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,71500,72000,72500,73000,73500,74000,74500,75000,75500,76000,76500,77000,77500,78000,78500,79000,79500,80000,80500,81000,81500,82000,82500,83000,83500,84000,84500,85000,85500,86000,86500,87000,87500,88000,88500,89000,89500,90000,90500,91000,91500,92000,92500,93000,93500,94000,94500,95000,95500,96000,96500,97000,97500,98000,98500,99000,99500
Station 000356-N in NE,47891.56843103448,18719.45014039409,87593.73377586206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.080863768349124e-307,7.539902607405608e-291,3.439313120732179e-275,5.77142710790709e-260,3.5628720934352857e-245,8.091383139591092e-231,6.760064176583577e-217,2.077707415328829e-203,2.3492188596455677e-190,9.77165411078121e-178,1.4952651483862764e-165,8.417320312782031e-154,1.743151024412937e-142,1.3280110689860175e-131,3.7219787769887767e-121,3.837528448663967e-111,1.4555758511007822e-101,2.0310639302516744e-92,1.042600343050261e-83,1.9688727649208143e-75,1.3678011281600932e-67,3.4956969998796434e-60,3.286624770536464e-53,1.1367683789891013e-46,1.4464364685220215e-40,6.770679550829758e-35,1.1659251601016679e-29,7.386090200600629e-25,1.7213296831537068e-20,1.4757711869718059e-16,4.65456944206334e-13,5.400643611700822e-10,2.3052447541807684e-07,3.6198792497176974e-05,0.0020911088653440247,0.044439045354184976,0.347422800281772,0.9992115148974435,1.0572119465665986,0.411502247925538,0.05892341105220286,0.0031039096145144968,6.015001921330752e-05,4.2881304904115054e-07,1.1246201377059936e-09,2.078310081216842e-12,1.1426213794383355e-09,4.83557226269585e-07,7.528516615433174e-05,0.004312576158060982,0.09095389054042836,0.7090142340490085,2.0886582457437806,2.604742923905443,2.023998004385862,1.816436177754149,2.758691143175225,3.751101935303544,3.1545913627633406,1.9656965316565478,2.8085281077938897,4.670626612310512,4.313345006821737,2.6033528218723485,3.24481310177672,4.8281168520207265,4.287218234363701,5.238308134225637,7.220816713255216,7.557351089479905,8.97026112370773,10.275863492733999,10.394260152945435,9.389431190859353,8.480564698343635,11.312241893299582,14.13898278285573,13.554345481395915,9.809744473286026,7.077789089819848,8.451139985034706,12.144872008483196,14.586820778698865,13.984119271993885,10.975152308389541,7.9924388499824355,9.048957866850937,11.963814000133542,11.918053330628116,11.022604210128572,10.524225980269083,10.768070507265307,12.166644258118213,10.578157411277008,8.062508166017842,8.340902894872096,9.54684221078412,9.49355552106094,9.822053189042062,11.926403988050037,15.199620227935686,14.867223593259762,11.69527140515028,10.996157747317783,13.876953903041178,16.318141833624605,14.565608545403206,8.707023405936614,4.65632725790274,6.049579657167397,9.982330940812941,12.12265258082827,13.115857135696906,13.112401805029084,10.95496330966425,8.744973204202752,7.899905771875857,8.113042838901352,8.436194385856904,9.58386359849648,10.157312341198185,8.273462781591471,6.081093067401471,5.915699923265148,6.234573349117512,4.540242545266758,2.6044922639352572,4.251649019748972,8.613378449052599,10.219682802403339,7.5275832264916716,5.089203506298351,4.683999350530789,4.420008885337092,3.9573259383091828,4.517359785600307,5.206921484523924,6.49611446739968,9.111202657624927,8.850367301879478,5.811257238990964,4.538926397918307,5.748076508390068,7.448248899770648,9.24064439430606,10.131315605897955,9.642343853548674,10.11180090560503,8.671030981043382,5.141972245957576,4.041211477467052,5.434527183136997,7.81417148501921,9.06997411085726,6.9709003441946535,3.919415366568142,2.5963994142306777,4.182589243176329,6.001388554664836,7.103635606749336,8.071623902404356,8.496924175791126,9.261412559490097,10.271163517799783,8.906894567873882,7.123974233630623,7.863235832824643,9.007804384260545,8.546794593203389,7.275298899055711,5.949214929652815,5.530843427157934,5.63146289633319,4.6074663226799375,4.185110540293393,4.617830412618288,4.468977494444838,3.756822265913106,2.9191684293072377,2.5515291660415844,2.4111584931453995,1.790119263581474
Station 000356-S in NE,46859.0987927928,14571.868453718822,90186.13685714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27495538068645e-310,7.842461350949276e-294,4.289350166008924e-278,8.630503532085414e-263,6.388314456000326e-248,1.7395701809683376e-233,1.7426217957886652e-219,6.421993281132587e-206,8.706469243300723e-193,4.342299869477305e-180,7.967151416410644e-168,5.377641524638565e-156,1.335322430693402e-144,1.2197924982464627e-133,4.099126207743421e-123,5.067597812054678e-113,2.30472179085505e-103,3.856029912491129e-94,2.3733828425437858e-85,5.374037849295415e-77,4.476505900764131e-69,1.3717757457210306e-61,1.5464382977401288e-54,6.413389128367127e-48,9.784713279909927e-42,5.4917926948989906e-36,1.1339285343770352e-30,8.61316468820582e-26,2.4068295585199146e-21,2.4741922362669003e-17,9.356793851557029e-14,1.301745846833594e-10,6.662402375950069e-08,1.2544144094044126e-05,0.0008688738523996987,0.02214001648032325,0.20754136550809266,0.7157097242535153,0.907976682719822,0.42376350313207617,0.07320411764281706,0.018180076399179103,0.1514914594613317,0.6206117149975999,0.9359706892774314,0.5192908817005918,0.10599409262021196,0.00831979845438375,0.011784722012813054,0.1361359847536317,0.5895160104230354,0.9391412230454232,0.5503916751682142,0.11868999042999868,0.010963042348928984,0.034022493132288605,0.2707908286517867,0.8202429324754689,1.1578394330547899,1.7253246859900504,2.816450289585693,2.9538769496309225,2.5411436268550283,2.274456025236471,3.5952946125850476,5.217176650964916,4.629257849248337,3.9101302597616177,4.311584007425833,7.073035208542123,10.071450935730217,10.506853376041715,10.459338344108481,11.144798331540015,13.047831675817573,15.868517614575527,18.101081600102475,15.034394854115247,10.273350009189361,8.885047580983661,11.74175998585166,16.10741858267296,17.825010099980943,19.577964887871026,20.193015928722115,16.774935597695524,12.687412798373648,11.242535437995794,14.390244455138301,18.01819836450069,16.837557731392632,13.972710429751755,12.128556902697538,11.652127414233037,14.111212647884273,15.09140093294896,12.940950463945622,10.945599721721809,9.003419581059006,6.826792002773811,6.7700001017649445,7.514481996543609,6.4058087638060845,6.409837077940452,9.274879402302998,10.761179508562321,8.18179805015433,5.874592080403798,6.525580510248436,7.601776336026464,8.781974249209494,9.033938333162144,7.443789685538673,7.1902114167583475,6.862201187959524,5.744224735650416,6.1580344806429155,8.016966426594237,8.896229241172225,7.386972448958084,6.543058012383828,7.427041506968256,8.564610771737872,8.541333116352181,6.664940799248522,5.511867421182906,6.965345594548996,9.010175254823334,8.328584913139116,6.473570455189864,5.940597376730509,7.089554255059906,6.9053249005268675,6.323650449056808,7.7853509490290875,8.06108273392937,7.306175724536216,7.375805484526011,7.839040069180872,6.546641800479841,5.079451979399461,5.576287806875255,5.525841097855543,5.755607310546076,6.782280720863125,7.161857241863119,7.770890898484518,8.473453438277556,8.416775994215428,6.970250411713987,4.695329864189765,4.560933421443142,6.014090409262164,5.587508347894393,4.00130775562207,3.015146932124522,3.223112347855467,4.612610524573685,4.840919355645216,3.4107741609520605,2.302392235719805,3.2525319960508026,5.472978791366211,6.784516813816841,6.005407225305369,4.023829637432087,2.8434690602737116,3.8482091249214596,5.125533314487592,5.793817119229742,6.402507843317618,8.057005156263635,9.65081761318965,7.598815722293519,4.7032181634281525,4.183704186225619,4.615361423516596,4.805716847828401,5.945969256888549,7.080060446182217,5.7243373758397915,3.539040025104062,2.5313707434725305,2.8376553220147147,2.486454177712636,2.1427883875936473,2.7262365631905014,2.7126261810051404,1.618174049258781,0.7254324136150936,1.087552743633171
Station 000749-S in OH,34859.988451535915,19403.792133473165,74936.03504481674,8.909874301801539e-151,1.0732109235658825e-139,4.755586766737798e-129,7.75226577729813e-119,4.648991110288051e-109,1.0256384576031699e-99,8.324063764150102e-91,2.4853183315624466e-82,2.7298210530970754e-74,1.1030415789819023e-66,1.6396652043560295e-59,8.966525245664824e-53,1.8038446120200158e-46,1.3349980792063284e-40,3.6347137994653103e-35,3.6405875285209614e-30,1.3415077724757892e-25,1.8186819221702964e-21,9.072238217868241e-18,1.665693535193342e-14,1.1264696783982257e-11,2.8112545480606233e-09,2.601652234874449e-07,9.046248828752985e-06,0.00012264175072437486,0.0007196984171796896,0.002320055691660971,0.005340887804282951,0.009416577643915779,0.015041363192938275,0.02483878253407474,0.038986706254678885,0.05983310769874661,0.08565446484696419,0.11236863770187056,0.14801515365898404,0.18899132408598024,0.22330504347576563,0.26531880589936563,0.31783306758877977,0.37131061313752534,0.43339306982244086,0.5219162267406259,0.6545428373310195,0.8303843407232974,1.0458085322372197,1.284792107193921,1.541348899072839,1.8663194059944166,2.2848217675629168,2.7477007362511765,3.232109034164703,3.700670812554164,4.1719370319299305,4.696239328003491,5.264500793075608,5.940684482223669,6.755301200896955,7.672119205317777,8.586107803834878,9.453621561115652,10.352894048774628,11.302235358030172,12.246007990718867,13.044060734746289,13.584972785265855,13.88841592736501,14.00156012347933,13.801543348884396,13.244197047050337,12.538763894676466,11.869975359937756,11.247810830133947,10.64355402144499,10.041464924181483,9.59605542556248,9.368758725034667,9.225000008302933,9.143097231872515,9.094339038911025,9.02810087830418,8.948394451573137,8.876184714394505,8.827651157199004,8.834156724842787,8.859963242843936,8.869137250345855,8.848957160827652,8.78314736482352,8.694094333343484,8.589895353975592,8.48686030420087,8.406595844604455,8.3748103808697,8.33399911806062,8.255542118480092,8.166011605705139,8.12867209851227,8.146474034576286,8.128208953311676,7.995956760431295,7.802164676174928,7.69824549251887,7.66590160980816,7.623339014741959,7.5751653198384385,7.516166454897688,7.392569751730071,7.261962549348892,7.211023876664184,7.217917980338079,7.1199178022036484,6.929348974060851,6.867944486947662,6.888482761833753,6.85375795276569,6.834289417742698,6.796352550425038,6.679040410935284,6.570296141197556,6.52192504753048,6.52513456871667,6.501518497912088,6.460691464165086,6.470754924082245,6.500682516932136,6.492868468080508,6.480363659215759,6.43231205390411,6.36697001208304,6.367014256461212,6.443548530344949,6.550541427756101,6.6627336020075605,6.710956896942594,6.665629458840681,6.634389297317466,6.778226644796424,7.015427730008998,7.179238966001847,7.33088944463238,7.55620508851641,7.791814439861197,7.994635726839354,8.229172385634408,8.534193875810384,8.904604978521625,9.300156316037947,9.637790231582589,9.878554572677292,10.10580130202286,10.323487297573932,10.44030795036628,10.515301056925304,10.514962995180637,10.361694465433589,10.023894210037906,9.531949291257494,8.957415527035211,8.33780161418119,7.671075044102993,6.997431619627153,6.328624613037666,5.64848387154245,4.9839700295431575,4.394483465674443,3.884479240093523,3.427370657200216,2.989456941734997,2.6018244731691094,2.3003429563411584,2.0407665929284895,1.8017562006289611,1.5918903375436149,1.4205932871356217,1.3064621642578194,1.2398160462821648,1.1777958442828138,1.081375394414987,0.9660499915632199,0.8902328387161537,0.8500796935393344,0.8055737800968941,0.7620775174327332,0.7262896992411814,0.6856442309220324,0.6413623998207489,0.5952847101413916,0.5588603084163238,0.5386615588953794,0.5120777219909942,0.4769450246599846,0.4495721141235844,0.43133165943794904,0.41827800240017976,0.40545747618452227,0.38798840586542016,0.37383763841741885,0.3700805212699945,0.35960181765557225
Station 000785-N in OH,38593.378629316525,17853.246054906715,76385.21970947352,5.521915976956536e-141,2.7537314273898004e-130,5.051948170547844e-120,3.409586478455412e-110,8.465450073152942e-101,7.732214893292788e-92,2.5981444974514215e-83,3.2116500413579847e-75,1.4604903008607354e-67,2.4432883458468867e-60,1.5036835557994633e-53,3.4044274883374367e-47,2.8355557957111374e-41,8.688406596485958e-36,9.793844878290925e-31,4.0614917333072656e-26,6.19665408739311e-22,3.478711168149638e-18,7.187804630708206e-15,5.470443123527832e-12,1.536703016270007e-09,1.6025359073300857e-07,6.3104782445470844e-06,9.877801109031701e-05,0.0007096246006301175,0.0030897361798753104,0.010057700847444888,0.02396497881869735,0.041842039453451246,0.06383387868832303,0.09884153777603756,0.14202120736207147,0.1814671076792336,0.21635832970514743,0.25264240296922086,0.2993414840901301,0.3544193322168912,0.4037242818351683,0.4327428221832766,0.4414494470168249,0.4585995056665782,0.4883953034483452,0.5063567988465377,0.5175486774096738,0.5356455844682149,0.5614958602902578,0.6066938121315124,0.6634530084534995,0.7076015321586006,0.7612094472730284,0.8391109514094461,0.9468424661144961,1.0955606481898124,1.2917130933319283,1.5216675429230209,1.7444250021076764,1.968593500388544,2.2593000537709083,2.6083646364529014,2.969993495108973,3.313143475814471,3.700828653597786,4.23023193958955,4.855429047828663,5.554594600980899,6.336295603695718,7.175069458189403,8.131829778117162,9.110947142362063,10.036739576830076,10.830541695769623,11.432274368704135,12.049342267455225,12.63042656388924,12.968966432370795,13.046559810584874,12.918807127309417,12.643873867532628,12.292293920533137,11.952537289581578,11.636936345782711,11.306149792060495,10.979405570912013,10.730551659181568,10.580916753278323,10.419145713838414,10.25125011083598,10.117193688594638,9.987046074565813,9.928559812411798,9.9305411483033,9.991449374887745,10.028803695265468,9.96650391579668,9.894283403628787,9.84676698920594,9.786350986496293,9.704841776717837,9.605676179309272,9.51356208801942,9.405129837510488,9.281583891452952,9.224360128541928,9.179495574950193,9.042454488332586,8.888638331974228,8.768966156363957,8.715964599738077,8.711018492875336,8.654871661145007,8.551654682618787,8.391682183106225,8.242961030692975,8.15839205707782,8.090906731509003,7.949278579359846,7.735430005342661,7.551476453474627,7.412271732758377,7.33033652411451,7.277323778643604,7.222493694617172,7.194352191606763,7.17374172301184,7.062515391510852,6.970513276144542,6.962559642183062,6.9710575925374885,6.978974945923858,6.932259487198714,6.867185576825318,6.871619374683708,6.91874467927046,6.955656165003066,6.995100364544252,7.021790840496918,7.034144439989582,7.147795056087233,7.3616654581128245,7.521993828189067,7.629328859453599,7.706646721228364,7.791868333983457,7.951882991081069,8.133779270962489,8.292030960645112,8.485552605790993,8.679013147574766,8.835208484048493,8.960728720203765,9.033730815027836,9.102473822294314,9.204006220421906,9.24506622069269,9.14673513270011,8.968445631505656,8.851233735089567,8.795896698685665,8.651858447464143,8.367807491560207,8.006500308555578,7.650448233573122,7.282071013015993,6.854396314498771,6.444109192412483,6.091859141952534,5.721344250075337,5.319188919339885,4.907480474007512,4.4750761659925455,4.069034984473811,3.7143523319594385,3.3899890491448454,3.0824378735088525,2.774516134697803,2.4918798804875117,2.2253653594236504,1.9733731231777076,1.7712611664638322,1.5869668905190253,1.3953865569421466,1.2387497023310932,1.129071863384954,1.014403781429666,0.8876463540731461,0.7917471552809612,0.726965330582707,0.6642169428028354,0.5967676592911287,0.5375065598811175,0.4869776779768161,0.43512506355422265,0.3861756957787691,0.34523751979325373,0.3098106508649963,0.28843075557229697,0.27503428130631785,0.24773507238763523,0.21517219032453838,0.19868363774674946
Station 088240-W in CA,34242.94662333038,15598.596617040723,76838.62140127328,6.301455607098227e-131,1.3010520366962844e-120,9.882254445534831e-111,2.7613796365256834e-101,2.8386163519042447e-92,1.0734962647150524e-83,1.4935230105832477e-75,7.644472218540762e-68,1.4395198690614404e-60,9.973291097036194e-54,2.542348280048899e-47,2.3847686971917503e-41,8.232519196402454e-36,1.0461377544314037e-30,4.895101713849415e-26,8.438805554075223e-22,5.3642187848083396e-18,1.258940065252864e-14,1.0931473481868681e-11,3.5236310843993266e-09,4.2403349363134446e-07,1.9245273682853198e-05,0.00033617775604942706,0.0023662776976616728,0.0074958492504785075,0.013391101541249386,0.017653990982804374,0.02044308157667469,0.02496556423496646,0.03287814598588275,0.03994844109572198,0.04683743405265504,0.05463076915700042,0.06888929008936431,0.09570066352372866,0.12396239875038033,0.1488945802476131,0.17921871162686484,0.21556629215632714,0.27058845603688936,0.34565398352898324,0.4161867319627757,0.46940180987118907,0.5047461787403972,0.5410986849386074,0.5966841982631331,0.6790753080729578,0.7786623868145923,0.8687341643136907,0.9448497882617067,1.0519812019460604,1.2735381570871223,1.6315091498626009,2.0549360859833072,2.507216919577526,3.0239686550778484,3.6497513994673403,4.368540562123472,5.263857516802656,6.508243579631504,8.297779495311772,10.809224368315009,13.798733121237133,16.914409883110498,20.099206177569172,23.521908656876075,27.29571407136639,31.111703050138928,34.40666428398648,36.312455705399536,35.69601251606458,32.45401946677514,27.783278386595686,22.837347817064803,18.3090224588187,14.659055862541608,12.050775707591077,10.261626399771552,9.030746703103821,8.2228033768503,7.808086440714053,7.654104094691244,7.5511737248151585,7.41622312345686,7.283253465734288,7.185982428502643,7.1315219445208005,7.065879800233473,6.9457981617732205,6.768392940747238,6.611891741399917,6.542767499458666,6.523189591154151,6.429497517107749,6.2550850984716595,6.056005393410228,5.878426673867798,5.762968450240545,5.668354480860207,5.6016168801978745,5.552281085531637,5.495694550878188,5.407424845747743,5.31373981200501,5.237720622353654,5.139479186913317,5.028366025860894,4.977299522103065,4.971026464529212,4.978864861014142,5.019211907336552,5.027061490729003,4.939161378939071,4.847539659719878,4.8128562601363605,4.794670046803154,4.722131319912418,4.615609730719218,4.555170787799441,4.485860645799476,4.372024698557221,4.2741019333066514,4.200523497558099,4.150472888961495,4.131657172092444,4.070592380921058,4.039074512587883,4.058389294023672,4.059025840370957,4.086157004001781,4.139420885710871,4.200066470536148,4.264100180765364,4.301186447643258,4.321862350182936,4.384615865287116,4.480229066409265,4.555693142457915,4.614559725667625,4.693405626355365,4.831282613233235,5.071055328789284,5.368200450160199,5.602579981443166,5.856973667995433,6.297494685271358,6.855033713476429,7.434041596137885,8.067980733355318,8.818114928969209,9.682185786453772,10.568133439827932,11.425588309213188,12.236288394158935,12.856485797195939,13.205870164176774,13.188839112168408,12.852295708145915,12.18331902472117,11.07791732145983,9.643236601892983,7.997701424755023,6.355050015433544,4.870788376538125,3.5762751919052,2.569863465222343,1.8510160142916807,1.3202191967109826,0.9469822828293191,0.7146156457032224,0.5570962176856517,0.4427707619672101,0.3638681731385778,0.3169952633782281,0.29872507058400466,0.26980549833729334,0.22919872155328253,0.20537863478773855,0.1937171177724041,0.17461419528348984,0.14896294159981097,0.13341756128833548,0.1313630633712453,0.11954232553686965,0.10189648289877602,0.09445684789019067,0.08829835477591488,0.08105566988018109,0.07626371596721589,0.06934242084493722,0.062388764914129334,0.0591924121405569,0.05667829573563307,0.05004679982340795,0.04098083458229654,0.03616973045673537,0.03223201142005555,0.025869218044660778,0.02115456929797852,0.01962984440221703
Station 303600-E in IN,41325.49999108167,20911.373317016052,77202.46835792053,4.319188636918404e-101,4.0722605165536995e-92,1.412489299363779e-83,1.802423930119714e-75,8.461748394060964e-68,1.4615341749089225e-60,9.288076448948475e-54,2.1719260571562933e-47,1.8690471371770484e-41,5.9201721445355684e-36,6.904233308372367e-31,2.965932680136147e-26,4.69651176483709e-22,2.744235554711333e-18,5.926541411792038e-15,4.742071567713493e-12,1.4108673374384039e-09,1.5692199198448514e-07,6.579111709723285e-06,0.00010551686564932094,0.0006697042117495375,0.0018612797867083198,0.0029647260900263735,0.0036633788431439246,0.0042112844324910135,0.007003872659925949,0.012236774508517376,0.018362899759679398,0.025606732877126802,0.03060749090752909,0.033762803489994976,0.04340681120854045,0.0545209243138087,0.05543612727511809,0.05275044699209984,0.057415773319854535,0.07089085811575645,0.08412091037431497,0.09482153573268948,0.09806277012941202,0.09509245559542476,0.09391227970071263,0.09667268814324266,0.11348096999372521,0.13481710311585574,0.1607958817523041,0.18784455027831753,0.21650736300999032,0.25557058846699005,0.291622343854736,0.31166169100495095,0.32158166311777303,0.3449688984473788,0.3970699159571776,0.46577610681436,0.5346927966297353,0.6262995902465555,0.7389186944777206,0.8852285183296388,1.0711198173733705,1.3122416405105344,1.566442785709228,1.8927678257576221,2.264909375391866,2.6873553516414743,3.2183905778913053,3.69162833966315,4.0683726430828715,4.524266538624331,5.030644290003587,5.433949589802139,5.8808627552601465,6.3059713691556,6.796826731982278,7.082514249461153,7.282429726765791,7.37110123687723,7.45531203789403,7.502650717003788,7.388337700250617,7.246817429548252,7.121218610274956,7.260855914414987,7.323327909466708,7.452840309506161,7.585901025249076,7.612061026145179,7.571533662015917,7.719354879895888,7.786572651667103,7.90488260300638,7.934357684822514,7.992165826304207,8.141757365102874,8.2697935636378,8.395358901478607,8.391924895105639,8.427040747060902,8.318596068651226,8.405752981443383,8.473914617566356,8.544272597911318,8.495014872948303,8.472955294159785,8.612544375453563,8.619833218874325,8.453665511901981,8.452533414049299,8.51067274036577,8.500933972340317,8.510699105522685,8.403618615327982,8.401632802332351,8.293942803543793,8.326774799853279,8.259913509946019,8.232348859632712,8.176290975359457,8.140072637489054,8.064651222172529,7.9325925172107254,7.903634231723998,7.778057579242248,7.774941948432717,7.7722165191294925,7.662876941678341,7.528523579816275,7.635393540169851,7.627156903638347,7.578645473447077,7.510516588151239,7.592619897273002,7.653801174281137,7.7851997050479955,7.955636654750424,8.082182564226057,8.252287395752273,8.365684416081324,8.661309666303914,8.985925807484298,9.435802883908085,9.771434241796642,10.257556953954095,10.815628939230862,11.28199718879042,11.587131593475666,11.997577451273445,12.2735054028017,12.576876356408782,12.940903147755526,13.29397815947384,13.80275368661559,14.143506140889926,14.503880819016747,14.679437111435417,15.053308009718396,15.199517041529326,15.417531634012054,15.592015103884703,15.691821854274917,15.678165982994413,15.47813428256442,15.348356418468637,14.68024637481955,13.548205235171993,12.284857150919015,11.022753682313105,9.585908464043763,8.346469237776843,7.025583063111238,5.785311672345766,4.667422274588781,3.7723317029009173,3.0077544061933303,2.3455925811656955,1.8186555381808212,1.3709339147738713,1.0428086627263902,0.7812203472429596,0.5682497055937932,0.4040896164878789,0.3030925493777772,0.23672427578210573,0.17244375935907896,0.11645464358438018,0.09011178788531463,0.08108099605357907,0.069027967779504,0.05420278278993117,0.04634049972922198,0.04302840589825156,0.03842127513702933,0.03372555006161613,0.02805643186011765,0.0256835966015094,0.023031883539037054,0.017520845039837377,0.0143667980238673,0.013123432317203072,0.013646620779682938
Station 303600-W in IN,38920.85861206117,19103.53580557347,73122.38231010982,4.91077595994814e-68,8.752790501904285e-61,5.739163767097322e-54,1.384384056754349e-47,1.2284881504024328e-41,4.010449291356347e-36,4.816436233263957e-31,2.1280248814936276e-26,3.4591030393121273e-22,2.068851038223473e-18,4.5538398934201466e-15,3.691135459094803e-12,1.1032694022059574e-09,1.2201234167061233e-07,5.0332186556369476e-06,7.896675770508882e-05,0.0004933434477659296,0.0013616372970720336,0.0020345723276147397,0.0022219861471047104,0.00284050048281592,0.005357372088774499,0.007470678627603871,0.0067260569910617424,0.007280956542666975,0.008606870302003149,0.009967284355252322,0.015524805712001464,0.02292003412400961,0.029964804238641833,0.03750131271678334,0.04963549861979039,0.06060905325448777,0.06459734225109189,0.07154294914284391,0.0815680009445515,0.09322811283279661,0.10757908025873288,0.1261276352925109,0.14703843013678114,0.17033405883887662,0.20450266412125703,0.251766247270831,0.3000470155620382,0.32569371077878356,0.362234307108624,0.39621833627021036,0.440420233997119,0.5242969362115163,0.6012385183471679,0.6505951345736243,0.7377505344721241,0.8768306022277336,1.0336154363019772,1.1864273678214878,1.366365026748261,1.6149622222872098,1.8378653827995524,2.091694811229975,2.4142309143065317,2.826613389895206,3.2367668162603302,3.72219810157944,4.236657934069197,4.77175417573035,5.429501599005742,6.09169491411441,6.676142832684042,7.2244425448445115,7.7955489894578305,8.285121237212516,8.761349457654063,9.027058809162009,9.392476191211735,9.525568126313548,9.57814177857853,9.53301110477827,9.519352591197041,9.467934988560474,9.380684989800917,9.352273342748768,9.135239764133711,8.99744282267596,8.752131221182596,8.734152644912447,8.739683922356356,8.59651486461619,8.502602096881189,8.670843126291558,8.680304730428126,8.690413487361214,8.725167707834446,8.744877097918188,8.665168719926058,8.580671634809995,8.65879938646926,8.623343409694211,8.677138004708432,8.700884125559282,8.841423490942397,8.800328473041828,8.779149440845156,8.79659197718781,8.917150535778834,9.051853943881985,9.022779715028351,8.909672457447037,8.859379188338716,8.774254534907108,8.661297835868112,8.679741475609937,8.630326949826586,8.68245158678528,8.597848443516321,8.59419736987407,8.527653010347683,8.511535528953736,8.467817468249011,8.450909156526453,8.428011717208522,8.38663291835498,8.42220489403242,8.374288107963524,8.532710928033984,8.62735323132912,8.576523527239534,8.47189446763121,8.532726260445571,8.547210160079237,8.734939221313297,8.927721310869012,9.211970324514798,9.39743240263062,9.608735827513273,9.861333210786976,10.166041886464331,10.672110239024567,11.068796493270256,11.521639852232259,11.915464307826927,12.535092745248074,12.989538784154073,13.459665254901864,13.959869145585115,14.307329367830977,14.433812205851106,14.71735774227554,14.774419410932534,14.649533547473125,14.388823362602572,14.021444890367539,13.657831626717146,12.915015995069444,12.232792012658837,11.446594384674322,10.778830795290704,9.906316882710001,9.065732489829065,8.292366413035868,7.539818263262906,6.80515523055632,5.972442130843943,5.269681599314029,4.608845948000187,3.991505521186057,3.4538273145353253,2.9682248301695187,2.457533305486007,2.0559617688342953,1.7000334264253754,1.419533566628546,1.1756650465620868,0.9724349650708153,0.804817600058728,0.6710680451365088,0.5787165082766669,0.5010823466681936,0.44635544767108887,0.4008628810963462,0.3644060055394002,0.3334972376881381,0.32077806280797927,0.3142146172252378,0.2913626304420132,0.2529420481040158,0.22617659400995888,0.20963654128243922,0.1996839080264555,0.18601773033159688,0.17213772246132317,0.16596980070017864,0.1546651194664544,0.13681150871920872,0.1222067280926858,0.12257237061780857,0.1229922959827671,0.11392008640992651,0.09563127866819242,0.08368638679819922,0.08361006679070686
